datetime,Rio_Grande_NR_Alameda,Rio_Grande_at_Alameda_Bridge_at_Alameda,Rio Grande Albuquerque,Rio Grande at Isleta Lakes NR Isleta
1/1/2019 0:00,2.97,12.53,3.01,5.01
1/1/2019 0:15,2.98,12.52,3.01,5.01
1/1/2019 0:30,2.98,12.5,2.99,5.01
1/1/2019 0:45,2.95,12.48,2.98,5
1/1/2019 1:00,2.93,12.45,3,5
1/1/2019 1:15,2.92,12.44,2.98,5
1/1/2019 1:30,2.89,12.42,2.98,4.99
1/1/2019 1:45,2.87,12.41,2.98,5
1/1/2019 2:00,2.86,12.4,2.98,4.99
1/1/2019 2:15,2.85,12.39,2.96,4.98
1/1/2019 2:30,2.83,12.38,2.98,4.98
1/1/2019 2:45,2.82,12.39,2.97,4.98
1/1/2019 3:00,2.81,12.38,2.97,4.97
1/1/2019 3:15,2.8,12.39,2.98,4.97
1/1/2019 3:30,2.79,12.38,2.96,4.97
1/1/2019 3:45,2.79,12.38,2.97,4.96
1/1/2019 4:00,2.79,12.39,2.97,4.96
1/1/2019 4:15,2.78,12.38,2.98,4.95
1/1/2019 4:30,2.77,12.39,2.99,4.95
1/1/2019 4:45,2.77,12.38,3,4.95
1/1/2019 5:00,2.77,12.38,2.99,4.94
1/1/2019 5:15,2.78,12.38,3,4.93
1/1/2019 5:30,2.78,12.37,2.98,4.93
1/1/2019 5:45,2.78,12.38,3,4.92
1/1/2019 6:00,2.78,12.38,3,4.92
1/1/2019 6:15,2.78,12.38,2.97,4.91
1/1/2019 6:30,2.77,12.4,2.98,4.91
1/1/2019 6:45,2.77,12.39,2.98,4.9
1/1/2019 7:00,2.77,12.38,2.97,4.9
1/1/2019 7:15,2.76,12.37,2.95,4.89
1/1/2019 7:30,2.76,12.36,2.96,4.89
1/1/2019 7:45,2.77,12.37,2.96,4.89
1/1/2019 8:00,2.76,12.37,2.95,4.89
1/1/2019 8:15,2.76,12.38,2.93,4.89
1/1/2019 8:30,2.76,12.37,2.93,4.89
1/1/2019 8:45,2.76,12.42,2.91,4.88
1/1/2019 9:00,2.76,12.4,2.93,4.88
1/1/2019 9:15,2.76,12.38,2.93,4.87
1/1/2019 9:30,2.76,12.39,2.95,4.87
1/1/2019 9:45,2.76,12.37,2.91,4.87
1/1/2019 10:00,2.75,12.39,2.95,4.86
1/1/2019 10:15,2.75,12.39,2.94,4.86
1/1/2019 10:30,2.75,12.36,2.94,4.86
1/1/2019 10:45,2.75,12.37,2.94,4.86
1/1/2019 11:00,2.75,12.37,2.94,4.86
1/1/2019 11:15,2.74,12.35,2.94,4.86
1/1/2019 11:30,2.74,12.36,2.94,4.86
1/1/2019 11:45,2.74,12.35,2.94,4.85
1/1/2019 12:00,2.74,12.36,2.94,4.85
1/1/2019 12:15,2.73,12.35,2.94,4.85
1/1/2019 12:30,2.74,12.36,2.94,4.84
1/1/2019 12:45,2.73,12.37,2.94,4.83
1/1/2019 13:00,2.73,12.42,2.94,4.83
1/1/2019 13:15,2.73,12.41,2.94,4.83
1/1/2019 13:30,2.74,12.45,2.95,4.82
1/1/2019 13:45,2.74,12.44,2.96,4.82
1/1/2019 14:00,2.74,12.43,2.95,4.81
1/1/2019 14:15,2.73,12.46,2.95,4.81
1/1/2019 14:30,2.73,12.43,2.96,4.81
1/1/2019 14:45,2.73,12.42,2.96,4.81
1/1/2019 15:00,2.73,12.42,2.96,4.81
1/1/2019 15:15,2.73,12.42,2.96,4.81
1/1/2019 15:30,2.73,12.42,2.96,4.81
1/1/2019 15:45,2.73,12.42,2.95,4.81
1/1/2019 16:00,2.73,12.42,2.96,4.81
1/1/2019 16:15,2.73,12.42,2.96,4.81
1/1/2019 16:30,2.73,12.44,2.96,4.81
1/1/2019 16:45,2.72,12.44,2.96,4.81
1/1/2019 17:00,2.73,12.44,2.95,4.82
1/1/2019 17:15,2.72,12.44,2.95,4.82
1/1/2019 17:30,2.72,12.44,2.95,4.82
1/1/2019 17:45,2.73,12.43,2.95,4.82
1/1/2019 18:00,2.73,12.42,2.95,4.83
1/1/2019 18:15,2.73,12.42,2.95,4.83
1/1/2019 18:30,2.73,12.42,2.95,4.83
1/1/2019 18:45,2.73,12.42,2.95,4.84
1/1/2019 19:00,2.73,12.4,2.95,4.84
1/1/2019 19:15,2.73,12.42,2.95,4.84
1/1/2019 19:30,2.72,12.44,2.95,4.84
1/1/2019 19:45,2.73,12.47,2.95,4.84
1/1/2019 20:00,2.72,12.46,2.95,4.84
1/1/2019 20:15,2.72,12.46,2.95,4.84
1/1/2019 20:30,2.72,12.47,2.95,4.84
1/1/2019 20:45,2.72,12.45,2.95,4.84
1/1/2019 21:00,2.72,12.42,2.94,4.85
1/1/2019 21:15,2.72,12.41,2.95,4.85
1/1/2019 21:30,2.73,12.38,2.94,4.85
1/1/2019 21:45,2.72,12.37,2.95,4.85
1/1/2019 22:00,2.72,12.38,2.95,4.85
1/1/2019 22:15,2.72,12.37,2.95,4.85
1/1/2019 22:30,2.72,12.37,2.95,4.85
1/1/2019 22:45,2.72,12.36,2.94,4.85
1/1/2019 23:00,2.72,12.35,2.94,4.85
1/1/2019 23:15,2.72,12.35,2.94,4.85
1/1/2019 23:30,2.72,12.34,2.94,4.84
1/1/2019 23:45,2.73,12.35,2.94,4.84
1/2/2019 0:00,2.74,12.35,2.94,4.84
1/2/2019 0:15,2.77,12.35,2.94,4.84
1/2/2019 0:30,2.79,12.35,2.93,4.84
1/2/2019 0:45,2.8,12.34,2.93,4.84
1/2/2019 1:00,2.81,12.34,2.93,4.83
1/2/2019 1:15,2.82,12.34,2.93,4.83
1/2/2019 1:30,2.82,12.35,2.93,4.83
1/2/2019 1:45,2.82,12.35,2.92,4.83
1/2/2019 2:00,2.82,12.35,2.92,4.83
1/2/2019 2:15,2.83,12.35,2.92,4.83
1/2/2019 2:30,2.83,12.33,2.92,4.82
1/2/2019 2:45,2.83,12.34,2.92,4.82
1/2/2019 3:00,2.83,12.34,2.91,4.82
1/2/2019 3:15,2.83,12.34,2.91,4.81
1/2/2019 3:30,2.82,12.35,2.91,4.81
1/2/2019 3:45,2.82,12.34,2.91,4.81
1/2/2019 4:00,2.82,12.33,2.91,4.8
1/2/2019 4:15,2.81,12.34,2.91,4.8
1/2/2019 4:30,2.81,12.35,2.91,4.79
1/2/2019 4:45,2.8,12.35,2.91,4.79
1/2/2019 5:00,2.8,12.35,2.92,4.78
1/2/2019 5:15,2.79,12.34,2.92,4.78
1/2/2019 5:30,2.79,12.34,2.92,4.77
1/2/2019 5:45,2.79,12.35,2.93,4.77
1/2/2019 6:00,2.78,12.35,2.93,4.77
1/2/2019 6:15,2.78,12.35,2.93,4.76
1/2/2019 6:30,2.77,12.35,2.93,4.76
1/2/2019 6:45,2.77,12.35,2.94,4.76
1/2/2019 7:00,2.76,12.35,2.94,4.75
1/2/2019 7:15,2.76,12.34,2.94,4.75
1/2/2019 7:30,2.76,12.34,2.94,4.75
1/2/2019 7:45,2.76,12.34,2.94,4.74
1/2/2019 8:00,2.76,12.34,2.95,4.74
1/2/2019 8:15,2.76,12.35,2.94,4.73
1/2/2019 8:30,2.76,12.34,2.94,4.73
1/2/2019 8:45,2.76,12.35,2.94,4.73
1/2/2019 9:00,2.74,12.34,2.94,4.72
1/2/2019 9:15,2.75,12.33,2.94,4.72
1/2/2019 9:30,2.75,12.34,2.94,4.72
1/2/2019 9:45,2.76,12.34,2.94,4.72
1/2/2019 10:00,2.77,12.35,2.94,4.71
1/2/2019 10:15,2.78,12.35,2.94,4.71
1/2/2019 10:30,2.78,12.35,2.94,4.71
1/2/2019 10:45,2.79,12.35,2.94,4.71
1/2/2019 11:00,2.79,12.34,2.94,4.7
1/2/2019 11:15,2.78,12.34,2.94,4.7
1/2/2019 11:30,2.8,12.34,2.94,4.7
1/2/2019 11:45,2.8,12.34,2.94,4.71
1/2/2019 12:00,2.82,12.33,2.93,4.71
1/2/2019 12:15,2.82,12.34,2.93,4.71
1/2/2019 12:30,2.82,12.33,2.93,4.72
1/2/2019 12:45,2.82,12.34,2.92,4.72
1/2/2019 13:00,2.83,12.34,2.92,4.73
1/2/2019 13:15,2.83,12.34,2.92,4.73
1/2/2019 13:30,2.83,12.35,2.91,4.74
1/2/2019 13:45,2.84,12.34,2.91,4.75
1/2/2019 14:00,2.84,12.34,2.92,4.75
1/2/2019 14:15,2.88,12.34,2.91,4.76
1/2/2019 14:30,2.91,12.34,2.92,4.77
1/2/2019 14:45,2.94,12.34,2.91,4.78
1/2/2019 15:00,2.95,12.33,2.91,4.78
1/2/2019 15:15,2.97,12.33,2.92,4.79
1/2/2019 15:30,2.95,12.32,2.93,4.8
1/2/2019 15:45,2.95,12.33,2.93,4.81
1/2/2019 16:00,2.96,12.33,2.94,4.81
1/2/2019 16:15,2.93,12.32,2.94,4.82
1/2/2019 16:30,2.92,12.32,2.95,4.82
1/2/2019 16:45,2.89,12.32,2.95,4.83
1/2/2019 17:00,2.87,12.32,2.96,4.83
1/2/2019 17:15,2.84,12.32,2.96,4.84
1/2/2019 17:30,2.8,12.32,2.96,4.84
1/2/2019 17:45,2.79,12.32,2.96,4.84
1/2/2019 18:00,2.77,12.33,2.96,4.84
1/2/2019 18:15,2.77,12.33,2.96,4.84
1/2/2019 18:30,2.76,12.33,2.97,4.84
1/2/2019 18:45,2.76,12.32,2.98,4.84
1/2/2019 19:00,2.75,12.33,2.99,4.85
1/2/2019 19:15,2.75,12.34,2.99,4.85
1/2/2019 19:30,2.75,12.33,3,4.84
1/2/2019 19:45,2.75,12.32,3,4.84
1/2/2019 20:00,2.75,12.34,3.01,4.84
1/2/2019 20:15,2.75,12.34,3.01,4.84
1/2/2019 20:30,2.74,12.33,3,4.83
1/2/2019 20:45,2.74,12.34,3,4.84
1/2/2019 21:00,2.74,12.34,3,4.84
1/2/2019 21:15,2.73,12.34,3,4.84
1/2/2019 21:30,2.73,12.34,3,4.84
1/2/2019 21:45,2.73,12.33,2.99,4.85
1/2/2019 22:00,2.72,12.34,2.99,4.85
1/2/2019 22:15,2.71,12.34,2.98,4.85
1/2/2019 22:30,2.71,12.33,2.98,4.85
1/2/2019 22:45,2.71,12.35,2.96,4.85
1/2/2019 23:00,2.71,12.35,2.95,4.85
1/2/2019 23:15,2.72,12.34,2.94,4.85
1/2/2019 23:30,2.73,12.35,2.93,4.85
1/2/2019 23:45,2.75,12.35,2.93,4.86
1/3/2019 0:00,2.79,12.36,2.92,4.86
1/3/2019 0:15,2.82,12.35,2.92,4.86
1/3/2019 0:30,2.84,12.35,2.91,4.86
1/3/2019 0:45,2.85,12.35,2.9,4.86
1/3/2019 1:00,2.86,12.35,2.9,4.86
1/3/2019 1:15,2.85,12.35,2.9,4.86
1/3/2019 1:30,2.86,12.35,2.9,4.86
1/3/2019 1:45,2.86,12.36,2.9,4.86
1/3/2019 2:00,2.86,12.35,2.89,4.86
1/3/2019 2:15,2.86,12.35,2.89,4.86
1/3/2019 2:30,2.86,12.36,2.89,4.86
1/3/2019 2:45,2.86,12.35,2.87,4.86
1/3/2019 3:00,2.86,12.35,2.88,4.86
1/3/2019 3:15,2.86,12.35,2.87,4.86
1/3/2019 3:30,2.86,12.35,2.87,4.85
1/3/2019 3:45,2.86,12.36,2.87,4.85
1/3/2019 4:00,2.86,12.36,2.87,4.85
1/3/2019 4:15,2.85,12.35,2.87,4.84
1/3/2019 4:30,2.85,12.35,2.88,4.84
1/3/2019 4:45,2.86,12.35,2.88,4.83
1/3/2019 5:00,2.86,12.34,2.89,4.83
1/3/2019 5:15,2.85,12.34,2.89,4.82
1/3/2019 5:30,2.85,12.36,2.89,4.81
1/3/2019 5:45,2.85,12.35,2.9,4.81
1/3/2019 6:00,2.85,12.36,2.9,4.8
1/3/2019 6:15,2.84,12.36,2.9,4.79
1/3/2019 6:30,2.84,12.36,2.91,4.79
1/3/2019 6:45,2.84,12.35,2.91,4.78
1/3/2019 7:00,2.85,12.35,2.91,4.77
1/3/2019 7:15,2.85,12.35,2.92,4.77
1/3/2019 7:30,2.85,12.36,2.92,4.76
1/3/2019 7:45,2.85,12.35,2.92,4.75
1/3/2019 8:00,2.85,12.35,2.92,4.75
1/3/2019 8:15,2.86,12.36,2.92,4.74
1/3/2019 8:30,2.87,12.35,2.92,4.74
1/3/2019 8:45,2.92,12.35,2.92,4.73
1/3/2019 9:00,2.97,12.37,2.91,4.74
1/3/2019 9:15,2.95,12.37,2.91,4.75
1/3/2019 9:30,2.92,12.37,2.91,4.75
1/3/2019 9:45,2.91,12.35,2.9,4.74
1/3/2019 10:00,2.89,12.34,2.91,4.74
1/3/2019 10:15,2.88,12.35,2.91,4.73
1/3/2019 10:30,2.87,12.35,2.92,4.73
1/3/2019 10:45,2.85,12.35,2.91,4.73
1/3/2019 11:00,2.86,12.38,2.91,4.73
1/3/2019 11:15,2.85,12.38,2.92,4.73
1/3/2019 11:30,2.84,12.37,2.93,4.73
1/3/2019 11:45,2.79,12.36,2.94,4.73
1/3/2019 12:00,2.72,12.36,2.94,4.73
1/3/2019 12:15,2.76,12.36,2.95,4.74
1/3/2019 12:30,2.78,12.35,2.96,4.74
1/3/2019 12:45,2.81,12.36,2.96,4.75
1/3/2019 13:00,2.83,12.36,2.96,4.75
1/3/2019 13:15,2.84,12.35,2.96,4.76
1/3/2019 13:30,2.85,12.36,2.96,4.77
1/3/2019 13:45,2.86,12.35,2.96,4.77
1/3/2019 14:00,2.86,12.34,2.96,4.79
1/3/2019 14:15,2.84,12.35,2.96,4.79
1/3/2019 14:30,2.83,12.34,2.97,4.8
